,index,date,state,fips,positive,negative,death,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,deathIncrease,new positive cases,new negative cases,new deaths (last 7 days),new deaths (per capita),Hospitalized (per capita),In ICU (per capita),On Ventilator (per capita),new positive cases (last 7 days),new positive (per capita),new negative cases (last 7 days),tests last week,tests last week (per capita),testing rate of change,testing rate of change (last 7 days average),positive case pct,positive case pct (last 7 days average),positive case pct rate of change,positive case pct rate of change (last 7 days average),positive cases rate of change,positive cases rate of change (last 7 days average)
4534,5392,2020-01-22,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4535,5391,2020-01-23,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4536,5390,2020-01-24,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4537,5389,2020-01-25,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4538,5388,2020-01-26,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4539,5387,2020-01-27,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4540,5386,2020-01-28,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4541,5385,2020-01-29,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4542,5384,2020-01-30,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4543,5383,2020-01-31,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4544,5382,2020-02-01,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4545,5381,2020-02-02,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4546,5380,2020-02-03,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4547,5379,2020-02-04,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4548,5378,2020-02-05,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4549,5377,2020-02-06,WA,53,1.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
4550,5376,2020-02-07,WA,53,2.0,,,,,,0,1.0,0.0,0.0,0.0,,,,1.0,1.327035928568841e-07,0.0,1.0,1.327035928568841e-07,1.327035928568841e-07,1.8957656122412013e-08,1.0,1.0,inf,0.0,1.0,1.0
4551,5375,2020-02-08,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,1.0,1.327035928568841e-07,0.0,1.0,1.327035928568841e-07,0.0,1.8957656122412013e-08,1.0,1.0,inf,0.0,,1.0
4552,5374,2020-02-09,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,1.0,1.327035928568841e-07,0.0,1.0,1.327035928568841e-07,0.0,1.8957656122412013e-08,1.0,1.0,inf,0.0,,1.0
4553,5373,2020-02-10,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,1.0,1.327035928568841e-07,0.0,1.0,1.327035928568841e-07,0.0,1.8957656122412013e-08,1.0,1.0,inf,0.0,,1.0
4554,5372,2020-02-11,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,1.0,1.327035928568841e-07,0.0,1.0,1.327035928568841e-07,0.0,1.8957656122412013e-08,1.0,1.0,inf,0.0,,1.0
4555,5371,2020-02-12,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,1.0,1.327035928568841e-07,0.0,1.0,1.327035928568841e-07,0.0,1.8957656122412013e-08,1.0,1.0,inf,0.0,,1.0
4556,5370,2020-02-13,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,1.0,1.327035928568841e-07,0.0,1.0,1.327035928568841e-07,0.0,1.8957656122412013e-08,1.0,1.0,inf,0.0,,1.0
4557,5369,2020-02-14,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-1.327035928568841e-07,-1.8957656122412013e-08,,1.0,,0.0,-inf,0.0
4558,5368,2020-02-15,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.8957656122412013e-08,,1.0,,0.0,,0.0
4559,5367,2020-02-16,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.8957656122412013e-08,,1.0,,0.0,,0.0
4560,5366,2020-02-17,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.8957656122412013e-08,,1.0,,0.0,,0.0
4561,5365,2020-02-18,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.8957656122412013e-08,,1.0,,0.0,,0.0
4562,5364,2020-02-19,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.8957656122412013e-08,,1.0,,0.0,,0.0
4563,5363,2020-02-20,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.8957656122412013e-08,,0.0,,0.0,,0.0
4564,5362,2020-02-21,WA,53,2.0,,,,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
