,state,lat,long
0,AL,32.806671,-86.79113
1,AK,61.370716,-152.404419
2,AZ,33.729759,-111.431221
3,AR,34.969704,-92.373123
4,CA,36.116203,-119.681564
5,CO,39.059811,-105.311104
6,CT,41.597782,-72.755371
7,DE,39.318523,-75.507141
8,DC,38.897438,-77.026817
9,FL,27.766279,-81.686783
10,GA,33.040619,-83.643074
11,HI,21.094318,-157.498337
12,ID,44.240459,-114.478828
13,IL,40.349457,-88.986137
14,IN,39.849426,-86.258278
15,IA,42.011539,-93.210526
16,KS,38.5266,-96.726486
17,KY,37.66814,-84.670067
18,LA,31.169546,-91.867805
19,ME,44.693947,-69.381927
20,MD,39.063946,-76.802101
21,MA,42.230171,-71.530106
22,MI,43.326618,-84.536095
23,MN,45.694454,-93.900192
24,MS,32.741646,-89.678696
25,MO,38.456085,-92.288368
26,MT,46.921925,-110.454353
27,NE,41.12537,-98.268082
28,NV,38.313515,-117.055374
29,NH,43.452492,-71.563896
30,NJ,40.298904,-74.521011
31,NM,34.840515,-106.248482
32,NY,42.165726,-74.948051
33,NC,35.630066,-79.806419
34,ND,47.528912,-99.784012
35,OH,40.388783,-82.764915
36,OK,35.565342,-96.928917
37,OR,44.572021,-122.070938
38,PA,40.590752,-77.209755
39,RI,41.680893,-71.51178
40,SC,33.856892,-80.945007
41,SD,44.299782,-99.438828
42,TN,35.747845,-86.692345
43,TX,31.054487,-97.563461
44,UT,40.150032,-111.862434
45,VT,44.045876,-72.710686
46,VA,37.769337,-78.169968
47,WA,47.400902,-121.490494
48,WV,38.491226,-80.954453
49,WI,44.268543,-89.616508
50,WY,42.755966,-107.30249
